# ============================================================================
# Dados para teste Rápido
# ============================================================================

# Sets definition
set I := 1 2 3;           # Apenas 3 pontos de coleta
set B := 1 2;             # Apenas 2 tipos de contentores  
set V := 1;                # Apenas 1 veículo
set T := 1 2 3;            # Apenas 3 dias no horizonte
set Tprime := ;            # Sem dias de descanso (vazio)

# Parameters
param Q := 100;            # Capacidade do veículo: 100 m3
param TU := 5;             # Tempo de descarga: 5 minutos
param CCV := 1.0;          # Custo: 1 US$/min
param TL := 120;           # Jornada: 120 minutos (2 horas)

# Travel time matrix C[i,j] (in minutes)
# Rede simples: depósito (0) e 3 pontos em linha
param C :
        0   1   2   3 :=
    0   0  10  20  30
    1  10   0  10  20
    2  20  10   0  10
    3  30  20  10   0;

# Service times for bin combinations (in minutes)
param Sb :=
    1  2     # Contentor pequeno: 2 min
    2  4;    # Contentor grande: 4 min

# Capacities of bin combinations (in m3)
param CAPb :=
    1  20    # Contentor pequeno: 20 m3
    2  50;   # Contentor grande: 50 m3

# Installation and maintenance costs (in US$)
param CINb :=
    1  50    # Contentor pequeno: 50 US$
    2 100;   # Contentor grande: 100 US$

# Daily waste generation at each collection point (in m3/day)
param Wi :=
    1  5     # Ponto 1: 5 m3/dia
    2  8     # Ponto 2: 8 m3/dia
    3  6;    # Ponto 3: 6 m3/dia

end;
